,sort,total_array_size,array_type,size,time_ns,operations
0,binaryInsertSort,bigSize,almost0-4000,100,1396,806
1,binaryInsertSort,bigSize,almost0-4000,200,2580,1808
2,binaryInsertSort,bigSize,almost0-4000,300,4305,2879
3,binaryInsertSort,bigSize,almost0-4000,400,6105,4005
4,binaryInsertSort,bigSize,almost0-4000,500,5695,5133
5,binaryInsertSort,bigSize,almost0-4000,600,5715,6413
6,binaryInsertSort,bigSize,almost0-4000,700,6828,7893
7,binaryInsertSort,bigSize,almost0-4000,800,7938,9469
8,binaryInsertSort,bigSize,almost0-4000,900,9042,11095
9,binaryInsertSort,bigSize,almost0-4000,1000,10101,12725
10,binaryInsertSort,bigSize,almost0-4000,1100,11142,14269
11,binaryInsertSort,bigSize,almost0-4000,1200,12389,16033
12,binaryInsertSort,bigSize,almost0-4000,1300,13443,17834
13,binaryInsertSort,bigSize,almost0-4000,1400,14817,19521
14,binaryInsertSort,bigSize,almost0-4000,1500,16203,21460
15,binaryInsertSort,bigSize,almost0-4000,1600,17262,23705
16,binaryInsertSort,bigSize,almost0-4000,1700,18604,25488
17,binaryInsertSort,bigSize,almost0-4000,1800,19824,27462
18,binaryInsertSort,bigSize,almost0-4000,1900,21049,29339
19,binaryInsertSort,bigSize,almost0-4000,2000,22321,31249
20,binaryInsertSort,bigSize,almost0-4000,2100,23803,33205
21,binaryInsertSort,bigSize,almost0-4000,2200,24991,35207
22,binaryInsertSort,bigSize,almost0-4000,2300,26229,37206
23,binaryInsertSort,bigSize,almost0-4000,2400,27481,39296
24,binaryInsertSort,bigSize,almost0-4000,2500,28868,41373
25,binaryInsertSort,bigSize,almost0-4000,2600,30729,43504
26,binaryInsertSort,bigSize,almost0-4000,2700,31494,45704
27,binaryInsertSort,bigSize,almost0-4000,2800,32986,49300
28,binaryInsertSort,bigSize,almost0-4000,2900,34201,51361
29,binaryInsertSort,bigSize,almost0-4000,3000,35604,53420
30,binaryInsertSort,bigSize,almost0-4000,3100,36948,58577
31,binaryInsertSort,bigSize,almost0-4000,3200,38134,60433
32,binaryInsertSort,bigSize,almost0-4000,3300,39619,62292
33,binaryInsertSort,bigSize,almost0-4000,3400,41511,64136
34,binaryInsertSort,bigSize,almost0-4000,3500,42868,68838
35,binaryInsertSort,bigSize,almost0-4000,3600,44301,74713
36,binaryInsertSort,bigSize,almost0-4000,3700,45420,76322
37,binaryInsertSort,bigSize,almost0-4000,3800,46695,77936
38,binaryInsertSort,bigSize,almost0-4000,3900,47908,79545
39,binaryInsertSort,bigSize,almost0-4000,4000,49263,84538
40,binaryInsertSort,bigSize,almost0-4000,4100,50717,89429
41,binaryInsertSort,smallSize,almost0-4000,50,296,354
42,binaryInsertSort,smallSize,almost0-4000,100,754,806
43,binaryInsertSort,smallSize,almost0-4000,150,1139,1295
44,binaryInsertSort,smallSize,almost0-4000,200,1537,1808
45,binaryInsertSort,smallSize,almost0-4000,250,1981,2321
46,binaryInsertSort,smallSize,almost0-4000,300,2511,2879
47,binaryInsertSort,bigSize,random0-4000,100,1006,3334
48,binaryInsertSort,bigSize,random0-4000,200,2431,11604
49,binaryInsertSort,bigSize,random0-4000,300,4031,24619
50,binaryInsertSort,bigSize,random0-4000,400,5876,44709
51,binaryInsertSort,bigSize,random0-4000,500,8019,69915
52,binaryInsertSort,bigSize,random0-4000,600,10385,98153
53,binaryInsertSort,bigSize,random0-4000,700,13713,131881
54,binaryInsertSort,bigSize,random0-4000,800,18033,170255
55,binaryInsertSort,bigSize,random0-4000,900,23639,216182
56,binaryInsertSort,bigSize,random0-4000,1000,30400,262334
57,binaryInsertSort,bigSize,random0-4000,1100,38230,318395
58,binaryInsertSort,bigSize,random0-4000,1200,47293,373874
59,binaryInsertSort,bigSize,random0-4000,1300,54472,437840
60,binaryInsertSort,bigSize,random0-4000,1400,62726,500586
61,binaryInsertSort,bigSize,random0-4000,1500,70350,569005
62,binaryInsertSort,bigSize,random0-4000,1600,78354,645572
63,binaryInsertSort,bigSize,random0-4000,1700,86021,731866
64,binaryInsertSort,bigSize,random0-4000,1800,94281,822190
65,binaryInsertSort,bigSize,random0-4000,1900,102177,918943
66,binaryInsertSort,bigSize,random0-4000,2000,111022,1027420
67,binaryInsertSort,bigSize,random0-4000,2100,118428,1133592
68,binaryInsertSort,bigSize,random0-4000,2200,127002,1241914
