size,time_ns,operations
100,1968,825
200,2946,1860
300,3793,2967
400,4972,4135
500,6320,5411
600,7202,6765
700,8564,8245
800,9350,9941
900,10402,11368
1000,11257,12931
1100,12462,14618
1200,14448,16393
1300,14527,18189
1400,15897,20020
1500,17259,21979
1600,18988,23985
1700,19656,26011
1800,21393,28025
1900,22044,29935
2000,23226,31836
2100,25191,34419
2200,25854,36282
2300,28622,39490
2400,32629,42788
2500,32040,44712
2600,32974,46591
2700,34183,48362
2800,34838,52441
2900,36230,54191
3000,38823,55933
3100,38801,57701
3200,41612,63356
3300,41783,64970
3400,43695,68805
3500,44563,70273
3600,46441,71739
3700,48047,73209
3800,49496,76981
3900,50858,78431
4000,51718,79860
4100,53783,81292
