size,time_ns,operations
100,1597,807
200,1833,1809
300,3461,2900
400,4448,4138
500,5748,5603
600,6722,6862
700,7778,8193
800,10493,9554
900,10280,10976
1000,11654,12388
1100,12645,13883
1200,14588,15571
1300,14684,17369
1400,16526,20087
1500,17792,21735
1600,20027,23435
1700,20782,25539
1800,21747,27315
1900,23244,29223
2000,24060,31138
2100,25950,33014
2200,27622,35944
2300,29552,37808
2400,29761,39769
2500,32812,41726
2600,32398,44499
2700,35095,47267
2800,35833,49008
2900,37261,50754
3000,38967,52504
3100,39666,54268
3200,42263,56091
3300,43280,57920
3400,44773,59745
3500,45340,61571
3600,47741,64704
3700,49605,68248
3800,50199,72796
3900,51404,74261
4000,52412,75719
4100,54328,80610
