size,time_ns,operations
100,688,3012
200,1465,10657
300,2456,24079
400,4164,42949
500,4634,64064
600,5930,89962
700,7496,121664
800,9077,156132
900,10768,195223
1000,12892,243162
1100,15187,293932
1200,18357,358597
1300,20734,420210
1400,23754,483301
1500,27024,560587
1600,30480,635700
1700,34202,716932
1800,37737,804816
1900,43180,900925
2000,46618,994031
2100,50281,1087905
2200,54829,1192102
2300,59171,1304718
2400,63731,1413611
2500,68092,1524275
2600,72855,1647723
2700,78240,1789632
2800,83635,1925138
2900,88441,2059582
3000,93953,2205735
3100,99275,2355269
3200,105262,2508114
3300,110759,2662250
3400,117193,2839064
3500,122937,3000708
3600,128923,3175176
3700,135198,3346257
3800,141517,3522911
3900,148147,3712022
4000,155330,3910912
4100,162363,4107719
