size,time_ns,operations
100,2051,3281
200,3452,11477
300,5238,24331
400,7289,43101
500,10484,68273
600,12161,97290
700,15540,133128
800,20175,174047
900,26666,220951
1000,32101,270288
1100,40128,328521
1200,51294,383323
1300,56607,449733
1400,64495,522491
1500,72317,594695
1600,80118,677449
1700,88861,758753
1800,96395,847154
1900,106164,947977
2000,113022,1043324
2100,123813,1142497
2200,131286,1242341
2300,137423,1353515
2400,148332,1479721
2500,153994,1609083
2600,164081,1732133
2700,172576,1868443
2800,181655,1996656
2900,188570,2146238
3000,199260,2289562
3100,210147,2442399
3200,222779,2591625
3300,229995,2765644
3400,250454,2926890
3500,250402,3089775
3600,260887,3258355
3700,273424,3454429
3800,283341,3635958
3900,293787,3826975
4000,305774,4032876
4100,316416,4237787
