size,time_ns,operations
100,1959,5708
200,3232,21612
300,5105,47607
400,6904,83636
500,9296,129724
600,11477,185827
700,14559,251953
800,18144,328107
900,20952,414272
1000,24201,510464
1100,28592,616654
1200,33120,732877
1300,37383,859097
1400,42366,995305
1500,48374,1141525
1600,53354,1297774
1700,59240,1464039
1800,67364,1640317
1900,72264,1826604
2000,79398,2022868
2100,86572,2229172
2200,93275,2445486
2300,105333,2671815
2400,112347,2908132
2500,121154,3154437
2600,128635,3410757
2700,137452,3677074
2800,147338,3953391
2900,156057,4239714
3000,162710,4536028
3100,172359,4842357
3200,184544,5158734
3300,197927,5485093
3400,209439,5821449
3500,229136,6167814
3600,234856,6524188
3700,254810,6890576
3800,254767,7266947
3900,266751,7653322
4000,280628,8049689
4100,295549,8456066
