size,time_ns,operations
100,1946,5739
200,3780,21634
300,5574,47624
400,7809,83649
500,10624,129726
600,13994,185842
700,15513,251956
800,18534,328104
900,23567,414289
1000,26081,510421
1100,30503,616622
1200,33607,732842
1300,37474,859062
1400,46117,995270
1500,47981,1141502
1600,54677,1297751
1700,60117,1464006
1800,66874,1640282
1900,85028,1826553
2000,81405,2022822
2100,89214,2229111
2200,93837,2445446
2300,104920,2671757
2400,111080,2908083
2500,120041,3154388
2600,133752,3410720
2700,140025,3677046
2800,146546,3953357
2900,155770,4239692
3000,165683,4536012
3100,176321,4842355
3200,191874,5158734
3300,197335,5485095
3400,209108,5821465
3500,228275,6167842
3600,233003,6524221
3700,245657,6890597
3800,255269,7266969
3900,268561,7653364
4000,281224,8049694
4100,295970,8456066
