size,time_ns,operations
100,1695,276
200,1841,850
300,1769,1350
400,2158,2328
500,2726,3597
600,3726,5760
700,19697,37939
800,22128,43839
900,25789,49739
1000,26890,55639
1100,29729,61539
1200,258013,533197
1300,286145,591597
1400,311364,650072
1500,340129,708572
1600,366950,767072
1700,394555,825652
1800,422631,884252
1900,448818,942852
2000,544244,1133970
2100,575864,1202440
2200,608054,1270440
2300,642470,1338440
2400,672675,1406440
2500,705441,1474440
2600,1574953,3289957
2700,1668903,3503857
2800,1764632,3717757
2900,2022855,4222212
3000,2153938,4502412
3100,2286749,4782642
3200,2416075,5062942
3300,2554642,5343242
3400,2675014,5623542
3500,2843844,5943073
3600,3132849,6490036
3700,3283491,6830243
3800,3437490,7169743
3900,3603444,7509243
4000,3823512,7950661
4100,3990755,8309361
