size,time_ns,operations
100,1231,100
200,1126,200
300,1580,941
400,1863,1441
500,40652,80406
600,50640,100424
700,62050,120524
800,79969,140647
900,106129,160847
1000,171585,181047
1100,162999,201247
1200,133839,221588
1300,126550,241988
1400,452971,928580
1500,515554,1035380
1600,564060,1142180
1700,608515,1249398
1800,659386,1356318
1900,712711,1463318
2000,753970,1570318
2100,803794,1677318
2200,861313,1791047
2300,913796,1898547
2400,961917,2006047
2500,1012802,2113547
2600,1066009,2221862
2700,1128788,2330224
2800,1179468,2437524
2900,1221871,2544824
3000,1271978,2652124
3100,1322073,2759424
3200,1370168,2866724
3300,1420441,2974024
3400,1474521,3081324
3500,1528819,3188624
3600,1951239,4056151
3700,2524353,5290811
3800,3339453,6916092
3900,3454501,7214892
4000,3588223,7513692
4100,4050562,8222927
