size,time_ns,operations
100,6003,7144
200,19656,29211
300,42620,64016
400,74774,113464
500,116361,175883
600,167148,253701
700,224934,345611
800,289601,448823
900,360837,562979
1000,445094,695275
1100,536282,840340
1200,633991,999681
1300,743545,1177561
1400,857066,1363190
1500,979665,1558349
1600,1123185,1767732
1700,1277126,2000333
1800,1434807,2246814
1900,1596519,2506679
2000,1755420,2776060
2100,1947974,3055441
2200,2133079,3351071
2300,2350555,3661357
2400,2566304,3991811
2500,2806128,4329180
2600,3064676,4682393
2700,3295700,5051340
2800,3576563,5431917
2900,3881705,5825258
3000,4255582,6236893
3100,4449104,6665914
3200,4872912,7095839
3300,5211729,7534364
3400,5593208,8000487
3500,5972966,8471154
3600,6316923,8941968
3700,6809139,9469067
3800,7171079,9986740
3900,7499433,10517461
4000,8069976,11063436
4100,8458219,11626935
