size,time_ns,operations
100,6438,7119
200,21157,28252
300,44616,63609
400,75979,110546
500,119622,173221
600,167508,249391
700,227079,341771
800,293543,448663
900,368523,569708
1000,474858,704470
1100,552645,851700
1200,643925,1005764
1300,755825,1171829
1400,887055,1356819
1500,1009794,1560524
1600,1142923,1778464
1700,1298444,2012948
1800,1445519,2258580
1900,1599653,2509492
2000,1779803,2791401
2100,2010247,3073059
2200,2156969,3369352
2300,2336839,3687220
2400,2583767,4009794
2500,2804264,4355056
2600,3361423,4707671
2700,3806385,5086963
2800,3623887,5480970
2900,3884909,5865691
3000,4340919,6278678
3100,4852253,6702894
3200,5026375,7145864
3300,5202578,7593267
3400,5635981,8055544
3500,5970976,8533104
3600,6290011,9036718
3700,6766241,9546814
3800,7247402,10061474
3900,7643601,10583854
4000,8049403,11142060
4100,8513728,11706414
