size,time_ns,operations
100,5277,10063
200,16382,40104
300,35327,90151
400,60256,160197
500,92331,250253
600,134455,360310
700,183414,490354
800,234731,640416
900,294599,810479
1000,362848,1000504
1100,437654,1210546
1200,517379,1440597
1300,606738,1690651
1400,702379,1960693
1500,804462,2250756
1600,912041,2560805
1700,1030568,2890845
1800,1153613,3240900
1900,1284105,3610948
2000,1414444,4000994
2100,1562619,4411040
2200,1716508,4841104
2300,1876827,5291141
2400,2054763,5761196
2500,2214528,6251233
2600,2391657,6761292
2700,2581017,7291345
2800,2950889,7841384
2900,2974557,8411446
3000,3181928,9001496
3100,3394677,9611553
3200,3614663,10241613
3300,3846867,10891658
3400,4080953,11561709
3500,4323467,12251768
3600,4585887,12961826
3700,5346964,13691882
3800,5091254,14441936
3900,5363216,15212002
4000,5648605,16002024
4100,5927136,16812072
