size,time_ns,operations
100,1265,244
200,1257,544
300,1466,844
400,1715,1144
500,1933,2012
600,2640,3138
700,3745,3838
800,78878,149945
900,82069,171545
1000,96120,193289
1100,114375,215155
1200,114170,237055
1300,128261,258955
1400,137301,280922
1500,143343,303022
1600,153880,325122
1700,163619,347222
1800,187243,369322
1900,189539,391422
2000,198732,413522
2100,635191,1253139
2200,641319,1325039
2300,1067210,2209473
2400,1341992,2348798
2500,1204337,2484798
2600,1278920,2620798
2700,1342115,2756798
2800,1849582,3818986
2900,1956619,4050286
3000,2125189,4281586
3100,2167849,4512886
3200,2489832,5141244
3300,2669192,5452344
3400,2803346,5765716
3500,3177685,6076716
3600,3056822,6387716
3700,3199668,6698716
3800,3579253,7011973
3900,3597988,7322901
4000,3758586,7633801
4100,3816228,7944701
