size,time_ns,operations
100,1318,100
200,1340,200
300,1379,941
400,1750,1441
500,44371,80406
600,50273,100424
700,59763,120524
800,68231,140647
900,77926,160847
1000,88966,181047
1100,97155,201247
1200,117667,221588
1300,124760,241988
1400,453041,928580
1500,502463,1035380
1600,563379,1142180
1700,608519,1249398
1800,655724,1356318
1900,702811,1463318
2000,755328,1570318
2100,799542,1677318
2200,860008,1791047
2300,909094,1898547
2400,959425,2006047
2500,1006581,2113547
2600,1062316,2221862
2700,1116199,2330224
2800,1167590,2437524
2900,1216327,2544824
3000,1268731,2652124
3100,1315237,2759424
3200,1431407,2866724
3300,1431337,2974024
3400,1514205,3081324
3500,1572340,3188624
3600,1969691,4056151
3700,2589800,5290811
3800,3324162,6916092
3900,3565062,7214892
4000,3658380,7513692
4100,4064924,8222927
