size,time_ns,operations
100,5591,7505
200,20845,29376
300,48537,67828
400,87599,119943
500,139733,189134
600,195222,271141
700,263850,369644
800,342522,485151
900,431029,614462
1000,527388,748826
1100,631118,904278
1200,746598,1081803
1300,876163,1268948
1400,999310,1474163
1500,1149747,1694511
1600,1298131,1930696
1700,1460565,2172029
1800,1630941,2434218
1900,1813790,2703122
2000,1996203,2992240
2100,2197642,3291420
2200,2430157,3620076
2300,2657092,3965094
2400,2879486,4320327
2500,3106609,4685188
2600,3379314,5079975
2700,3640931,5475085
2800,3898150,5872302
2900,4220766,6308345
3000,4523690,6751035
3100,4998039,7212987
3200,5387973,7682112
3300,5849162,8165770
3400,6213125,8677703
3500,6728316,9192728
3600,7203772,9710969
3700,7658527,10254169
3800,8243976,10821682
3900,8784800,11383432
4000,9246590,11988750
4100,9819152,12592363
