size,time_ns,operations
100,7529,7454
200,22262,29581
300,48186,66275
400,86128,119193
500,136349,187946
600,197195,271467
700,261228,371260
800,342895,485994
900,434699,616692
1000,521124,760000
1100,627944,922004
1200,741512,1088777
1300,863701,1280768
1400,1007542,1486467
1500,1149383,1703218
1600,1295834,1940109
1700,1461906,2184987
1800,1622613,2446656
1900,1803492,2730754
2000,1999946,3018397
2100,2205051,3322817
2200,2398366,3636530
2300,2632914,3969423
2400,2871055,4331801
2500,3127691,4702164
2600,3368848,5081876
2700,3652998,5481596
2800,3874337,5879402
2900,4212606,6313575
3000,4573595,6748914
3100,4882207,7209833
3200,5166112,7665404
3300,5764325,8169810
3400,6100830,8666194
3500,6564636,9169395
3600,7125292,9694138
3700,7608854,10253291
3800,9021395,10808875
3900,9228879,11384689
4000,9282462,11981420
4100,9857828,12593820
