size,time_ns,operations
100,5248,10059
200,16366,40105
300,34801,90139
400,59615,160197
500,95143,250243
600,134789,360269
700,180588,490309
800,234097,640354
900,294819,810400
1000,361646,1000445
1100,435751,1210503
1200,516914,1440550
1300,606057,1690598
1400,701109,1960650
1500,803237,2250706
1600,913147,2560762
1700,1027917,2890785
1800,1151636,3240822
1900,1280169,3610863
2000,1422587,4000900
2100,1563289,4410951
2200,1714445,4841005
2300,1873532,5291043
2400,2038366,5761104
2500,2222027,6251160
2600,4542215,6761210
2700,2576113,7291270
2800,2776066,7841330
2900,2975221,8411381
3000,3182514,9001429
3100,3397271,9611482
3200,3623671,10241535
3300,3846847,10891576
3400,4082038,11561623
3500,4327799,12251673
3600,4575623,12961725
3700,4834821,13691771
3800,5095655,14441837
3900,5362476,15211900
4000,5632481,16001952
4100,5927658,16812006
