size,time_ns,operations
100,5417,10063
200,16936,40104
300,34179,90151
400,60147,160197
500,92593,250253
600,131413,360310
700,179888,490354
800,234425,640416
900,296454,810479
1000,358990,1000504
1100,435031,1210546
1200,519396,1440597
1300,605472,1690651
1400,701973,1960693
1500,803292,2250756
1600,914490,2560805
1700,1028922,2890845
1800,1153796,3240900
1900,1280983,3610948
2000,1420511,4000994
2100,1564225,4411040
2200,1715683,4841104
2300,1873047,5291141
2400,2039568,5761196
2500,2210176,6251233
2600,2390413,6761292
2700,2576923,7291345
2800,2770181,7841384
2900,2969472,8411446
3000,3179645,9001496
3100,3391914,9611553
3200,3617775,10241613
3300,3864411,10891658
3400,4077469,11561709
3500,4318609,12251768
3600,4574778,12961826
3700,4833443,13691882
3800,5097238,14441936
3900,5363133,15212002
4000,5629437,16002024
4100,5952057,16812072
