size,time_ns,operations
100,3042,5050
200,7949,20100
300,15384,45166
400,25578,80316
500,39130,125466
600,54591,180626
700,79708,245903
800,95319,321318
900,121614,406786
1000,149712,502440
1100,182720,607890
1200,214733,723340
1300,251138,848790
1400,291730,984885
1500,335132,1130283
1600,382236,1285933
1700,425136,1451583
1800,475098,1627233
1900,528751,1812883
2000,586979,2008930
2100,643606,2214480
2200,716238,2431573
2300,781180,2657027
2400,843702,2892577
2500,912348,3138127
2600,983882,3393677
2700,1058358,3659245
2800,1136138,3934895
2900,1221806,4220545
3000,1318829,4518750
3100,1405564,4824949
3200,1518418,5140399
3300,1613367,5468384
3400,1698652,5803734
3500,1791286,6149084
3600,1931712,6508418
3700,2032787,6873568
3800,2144999,7248718
3900,2252883,7633868
4000,2358567,8029018
4100,2475687,8435584
