size,time_ns,operations
100,3190,5050
200,7883,20100
300,15614,45194
400,26487,80444
500,40050,125857
600,60256,181025
700,77651,246275
800,95889,321548
900,137017,406898
1000,152073,502248
1100,188600,607598
1200,229297,723089
1300,252105,848639
1400,298008,985196
1500,351211,1130646
1600,379069,1286096
1700,430552,1451964
1800,487028,1627534
1900,535027,1813184
2000,593892,2008834
2100,649198,2214484
2200,715897,2431193
2300,782680,2656843
2400,846721,2892493
2500,922596,3138143
2600,1011125,3394608
2700,1068680,3661120
2800,1148881,3936570
2900,1229348,4222020
3000,1314477,4517470
3100,1468899,4822920
3200,1483396,5138370
3300,1848174,5463820
3400,1708589,5799270
3500,1803274,6144720
3600,1980927,6501517
3700,2032152,6868787
3800,2143454,7246983
3900,2239125,7632133
4000,2403233,8027283
4100,2508887,8435805
