size,time_ns,operations
100,4588,7120
200,16238,28039
300,35936,63340
400,64770,112693
500,95446,174931
600,140467,252295
700,189868,343069
800,240238,447254
900,297255,568314
1000,368632,704058
1100,442418,853339
1200,521443,1012889
1300,606881,1195307
1400,700075,1386923
1500,799976,1594348
1600,919765,1809582
1700,1041744,2045951
1800,1157235,2297202
1900,1278872,2562910
2000,1414113,2834271
2100,1524493,3129885
2200,1680509,3432560
2300,1831601,3755970
2400,1989431,4089301
2500,2163025,4430966
2600,2344353,4801883
2700,2553928,5191538
2800,2737658,5579846
2900,2942709,5972670
3000,3154577,6391770
3100,3395146,6842952
3200,3619109,7282680
3300,3774802,7732143
3400,4023331,8213606
3500,4267966,8707577
3600,4604973,9209127
3700,4940312,9719125
3800,5317791,10240184
3900,5900096,10799731
4000,6261028,11372403
4100,6656959,11932750
