size,time_ns,operations
100,5207,7574
200,18399,29881
300,45039,66771
400,80471,119518
500,121403,188649
600,173388,271603
700,238695,371326
800,296328,486114
900,366703,616882
1000,467176,760091
1100,549489,922175
1200,658906,1090793
1300,774565,1281021
1400,854884,1487595
1500,1019223,1703596
1600,1143695,1940130
1700,1285907,2185218
1800,1450696,2447397
1900,1613560,2731979
2000,1752324,3021098
2100,1956320,3324042
2200,2133851,3637658
2300,2348250,3972583
2400,2562980,4332542
2500,2776104,4705650
2600,2968573,5082437
2700,3253250,5482499
2800,3443924,5884452
2900,3694475,6317761
3000,3949116,6754800
3100,4149673,7211373
3200,4536460,7674315
3300,4796073,8172021
3400,5138463,8666974
3500,5351190,9173581
3600,5828375,9695849
3700,6240397,10255637
3800,6488355,10810891
3900,7101061,11385635
4000,7366244,11985248
4100,7789798,12593865
