size,time_ns,operations
100,5345,10039
200,16167,40086
300,31459,90138
400,52587,160188
500,81958,250253
600,113766,360295
700,153161,490349
800,196049,640414
900,243610,810461
1000,298118,1000528
1100,357597,1210566
1200,422561,1440617
1300,497360,1690671
1400,571344,1960708
1500,650741,2250760
1600,738284,2560811
1700,826333,2890854
1800,926911,3240911
1900,1029284,3610974
2000,1139512,4001017
2100,1248747,4411077
2200,1368951,4841126
2300,1494234,5291191
2400,1628073,5761240
2500,1768072,6251282
2600,1900230,6761332
2700,2045225,7291381
2800,2197088,7841424
2900,2354561,8411483
3000,2517698,9001532
3100,2699345,9611577
3200,2867760,10241634
3300,3047802,10891677
3400,3409936,11561716
3500,9127945,12251762
3600,3607515,12961812
3700,3803499,13691876
3800,4006289,14441929
3900,4222945,15211982
4000,4434809,16002028
4100,4665961,16812081
