size,time_ns,operations
100,5535,10063
200,16308,40104
300,31232,90151
400,52272,160197
500,79266,250253
600,113515,360310
700,150191,490355
800,192258,640416
900,243134,810479
1000,296961,1000504
1100,357619,1210546
1200,424314,1440597
1300,492563,1690651
1400,569294,1960693
1500,649992,2250756
1600,738408,2560805
1700,831975,2890845
1800,926507,3240900
1900,1031423,3610948
2000,1138736,4000997
2100,1252012,4411040
2200,1364808,4841104
2300,1494387,5291141
2400,1622303,5761196
2500,1759958,6251233
2600,1890158,6761292
2700,2044405,7291345
2800,2412256,7841384
2900,2355535,8411446
3000,2517993,9001496
3100,2685545,9611553
3200,2858453,10241613
3300,3034953,10891658
3400,4399159,11561709
3500,10058415,12251768
3600,10643254,12961826
3700,11278209,13691882
3800,11839170,14441936
3900,12486849,15212002
4000,13143333,16002024
4100,13828565,16812075
