size,time_ns,operations
100,4439,404
200,3828,804
300,5225,1204
400,4234,1604
500,4884,2004
600,6652,2404
700,5583,2804
800,6827,3204
900,7036,3604
1000,7333,4004
1100,7835,4404
1200,7503,4804
1300,7678,5204
1400,7342,5604
1500,7809,6004
1600,8708,6404
1700,8961,6804
1800,7481,7204
1900,8381,7604
2000,8468,8004
2100,8769,8404
2200,8808,8804
2300,9441,9204
2400,8918,9604
2500,9031,10004
2600,9476,10404
2700,9367,10804
2800,9520,11204
2900,9917,11604
3000,9651,12004
3100,9690,12404
3200,9882,12804
3300,9878,13204
3400,10589,13604
3500,12309,14004
3600,11881,14404
3700,10332,14804
3800,10755,15204
3900,11393,15604
4000,11183,16004
4100,11462,16404
