size,time_ns,operations
100,1558,404
200,1571,804
300,1484,1204
400,1746,1604
500,1920,2004
600,2029,2404
700,1973,2804
800,2269,3204
900,2335,3604
1000,2523,4004
1100,2597,4404
1200,2737,4804
1300,2841,5204
1400,3059,5604
1500,3068,6004
1600,3286,6404
1700,3470,6804
1800,3566,7204
1900,3649,7604
2000,4229,8004
2100,3802,8404
2200,4146,8804
2300,4247,9204
2400,4509,9604
2500,4522,10004
2600,4701,10404
2700,4801,10804
2800,4910,11204
2900,5063,11604
3000,5657,12004
3100,5338,12404
3200,5473,12804
3300,5770,13204
3400,5788,13604
3500,5831,14004
3600,5910,14404
3700,6050,14804
3800,6168,15204
3900,6264,15604
4000,6543,16004
4100,6665,16404
