size,time_ns,operations
100,2723,2605
200,5063,6011
300,8368,9733
400,10232,13635
500,13270,17573
600,16866,21855
700,21817,26141
800,27709,30471
900,32502,34817
1000,36890,39111
1100,42608,43741
1200,48479,48435
1300,53503,53073
1400,59331,57739
1500,65289,62309
1600,71174,66923
1700,76193,71557
1800,81279,76219
1900,85914,80853
2000,91449,85443
2100,98504,90441
2200,102860,95547
2300,109081,101029
2400,114803,106335
2500,119832,111517
2600,126659,116555
2700,129151,121705
2800,136175,127123
2900,142491,132273
3000,144120,137375
3100,150728,142489
3200,159485,147763
3300,162100,152849
3400,171952,158239
3500,181380,163425
3600,188251,168583
3700,193494,173825
3800,194594,179307
3900,195270,184521
4000,198671,189715
4100,204001,194921
