size,time_ns,operations
100,2832,2613
200,6237,6023
300,8202,9761
400,10450,13663
500,14872,17557
600,17748,21859
700,22078,26193
800,26823,30531
900,32131,34809
1000,36859,39111
1100,42957,43793
1200,48562,48483
1300,54232,53145
1400,63032,57895
1500,67341,62617
1600,72334,67367
1700,78245,72145
1800,83832,76887
1900,88346,81545
2000,93693,86251
2100,98997,91041
2200,110708,96203
2300,113485,101345
2400,118561,106463
2500,123708,111553
2600,129806,116867
2700,134783,122089
2800,139636,127123
2900,145228,132289
3000,150086,137359
3100,154133,142533
3200,159830,147619
3300,164360,152897
3400,170070,157991
3500,173536,163081
3600,181241,168071
3700,187448,173521
3800,191673,179063
3900,197972,184269
4000,203437,189379
4100,210465,194981
