size,time_ns,operations
100,2776,2417
200,5238,5583
300,7922,8973
400,11851,12647
500,15142,16401
600,19870,20283
700,26308,24429
800,32551,28551
900,39369,32589
1000,46729,36683
1100,53643,41009
1200,60732,45347
1300,67572,49809
1400,74692,54415
1500,82715,58869
1600,88101,63447
1700,94335,67941
1800,107710,72555
1900,113131,76961
2000,119583,81451
2100,127349,86241
2200,131827,90859
2300,137170,95769
2400,142596,100423
2500,150239,105261
2600,155181,110107
2700,164326,114841
2800,170301,119815
2900,176221,124801
3000,182419,129931
3100,190866,134525
3200,200015,139563
3300,206475,144313
3400,214660,149223
3500,219471,154437
3600,224984,159255
3700,235080,164301
3800,242667,169339
3900,250433,174157
4000,258329,179367
4100,266968,184085
