size,time_ns,operations
100,1406,2069
200,3474,4979
300,5609,8113
400,8159,11475
500,12093,14973
600,15575,18583
700,21194,22533
800,27020,26155
900,35332,30201
1000,42612,33979
1100,50331,38209
1200,58660,41971
1300,67207,46121
1400,73076,50011
1500,78830,54493
1600,83794,58651
1700,89983,62753
1800,95319,67247
1900,99443,71661
2000,98859,75831
2100,99187,79989
2200,101748,84555
2300,107157,89249
2400,115985,93699
2500,117703,98081
2600,122517,102587
2700,127648,107105
2800,132204,111595
2900,136632,116045
3000,143189,120627
3100,149497,125297
3200,156790,130143
3300,159005,134601
3400,164231,139263
3500,168282,144141
3600,173194,148879
3700,178986,153469
3800,185374,158371
3900,189145,162881
4000,193433,167455
4100,199303,172009
