size,time_ns,operations
100,2527,2117
200,4456,4991
300,7102,8141
400,10384,11499
500,13056,15013
600,17190,18639
700,21232,22509
800,26976,26239
900,31983,30233
1000,37252,34011
1100,43372,38149
1200,49535,42047
1300,55118,46137
1400,60618,50055
1500,66922,54581
1600,72557,58603
1700,78053,62773
1800,82571,67247
1900,88586,71701
2000,92624,75839
2100,101166,80121
2200,105575,84667
2300,111241,89293
2400,115829,93755
2500,122285,98013
2600,128863,102527
2700,131347,107217
2800,137646,111735
2900,145333,116033
3000,149432,120651
3100,154971,125289
3200,158830,130015
3300,163697,134653
3400,169127,139447
3500,174387,144153
3600,178892,148935
3700,184362,153517
3800,191006,158299
3900,195781,163005
4000,197405,167463
4100,203376,171913
