size,time_ns,operations
100,6189,1360
200,11253,3106
300,16194,4996
400,21720,6996
500,25278,8996
600,31713,11174
700,36448,13374
800,40229,15574
900,43319,17774
1000,47650,19974
1100,52298,22328
1200,57401,24728
1300,62910,27128
1400,67040,29528
1500,72051,31928
1600,76804,34328
1700,81558,36728
1800,85919,39128
1900,91179,41528
2000,95684,43928
2100,104772,46434
2200,106623,49034
2300,110377,51634
2400,121111,54234
2500,125838,56834
2600,130326,59434
2700,134761,62034
2800,142526,64634
2900,149301,67234
3000,160502,69834
3100,169874,72434
3200,173650,75034
3300,181616,77634
3400,184711,80234
3500,186946,82834
3600,194275,85434
3700,194127,88034
3800,195414,90634
3900,197361,93234
4000,192843,95834
4100,196462,98444
