size,time_ns,operations
100,6735,1360
200,10768,3106
300,13553,4996
400,18150,6996
500,22991,8996
600,26911,11174
700,32402,13374
800,35458,15574
900,39295,17774
1000,42935,19974
1100,48230,22328
1200,53639,24728
1300,58820,27128
1400,61745,29528
1500,66341,31928
1600,71619,34328
1700,76573,36728
1800,79991,39128
1900,84151,41528
2000,90170,43928
2100,92288,46434
2200,97988,49034
2300,108775,51634
2400,112891,54234
2500,117623,56834
2600,120644,59434
2700,124991,62034
2800,132019,64634
2900,137960,67234
3000,138536,69834
3100,142958,72434
3200,145525,75034
3300,153544,77634
3400,157813,80234
3500,159616,82834
3600,164692,85434
3700,166495,88034
3800,173872,90634
3900,176317,93234
4000,179748,95834
4100,182271,98444
