size,time_ns,operations
100,6021,1360
200,10651,3106
300,15840,4996
400,20838,6996
500,25566,8996
600,31545,11174
700,37206,13374
800,42583,15574
900,47996,17774
1000,54205,19974
1100,61246,22328
1200,69727,24728
1300,77797,27128
1400,86100,29528
1500,93988,31928
1600,108401,34328
1700,115495,36728
1800,123204,39128
1900,132224,41528
2000,140181,43928
2100,149473,46434
2200,157616,49034
2300,166376,51634
2400,175476,54234
2500,192518,56834
2600,191686,59434
2700,198932,62034
2800,206993,64634
2900,216286,67234
3000,223199,69834
3100,232451,72434
3200,239513,75034
3300,248820,77634
3400,257020,80234
3500,266686,82834
3600,272968,85434
3700,279630,88034
3800,286554,90634
3900,295817,93234
4000,304705,95834
4100,310294,98444
