size,time_ns,operations
100,6643,1360
200,10450,3106
300,15260,4996
400,20992,6996
500,25317,8996
600,31193,11174
700,36352,13374
800,40888,15574
900,46078,17774
1000,52552,19974
1100,58523,22328
1200,63643,24728
1300,69528,27128
1400,74949,29528
1500,80798,31928
1600,87403,34328
1700,92637,36728
1800,100175,39128
1900,109473,41528
2000,235451,43928
2100,116619,46434
2200,123363,49034
2300,130500,51634
2400,135175,54234
2500,140824,56834
2600,147079,59434
2700,153352,62034
2800,157940,64634
2900,164684,67234
3000,170777,69834
3100,176395,72434
3200,181943,75034
3300,186671,77634
3400,194807,80234
3500,200006,82834
3600,206511,85434
3700,211915,88034
3800,217092,90634
3900,224901,93234
4000,230449,95834
4100,234491,98444
