size,time_ns,operations
100,5290,1360
200,9983,3106
300,14383,4996
400,18787,6996
500,24458,8996
600,27784,11174
700,33834,13374
800,37387,15574
900,40364,17774
1000,46104,19974
1100,52159,22328
1200,58881,24728
1300,60466,27128
1400,65005,29528
1500,70667,31928
1600,75560,34328
1700,80952,36728
1800,86076,39128
1900,95518,41528
2000,97731,43928
2100,105566,46434
2200,114174,49034
2300,119880,51634
2400,124398,54234
2500,132482,56834
2600,141836,59434
2700,165487,62034
2800,165312,64634
2900,161165,67234
3000,169451,69834
3100,174305,72434
3200,177412,75034
3300,180669,77634
3400,213875,80234
3500,213006,82834
3600,221981,85434
3700,228105,88034
3800,257980,90634
3900,309253,93234
4000,268443,95834
4100,273402,98444
