size,time_ns,operations
100,5246,1360
200,11598,3106
300,16513,4996
400,18800,6996
500,23357,8996
600,30464,11174
700,32756,13374
800,37064,15574
900,41062,17774
1000,45419,19974
1100,51067,22328
1200,55590,24728
1300,60409,27128
1400,65211,29528
1500,70597,31928
1600,75914,34328
1700,80131,36728
1800,84042,39128
1900,101668,41528
2000,98949,43928
2100,114589,46434
2200,109399,49034
2300,155901,51634
2400,165639,54234
2500,187666,56834
2600,164762,59434
2700,140029,62034
2800,144840,64634
2900,149790,67234
3000,154705,69834
3100,159720,72434
3200,176168,75034
3300,171524,77634
3400,182057,80234
3500,182843,82834
3600,186308,85434
3700,191359,88034
3800,195842,90634
3900,200216,93234
4000,205891,95834
4100,210011,98444
