size,time_ns,operations
100,10878,10303
200,62033,40603
300,141753,90903
400,254165,161203
500,408530,250507
600,613169,359412
700,775225,489315
800,456076,400476
900,551223,570576
1000,987009,756690
1100,1075578,964202
1200,1288947,1193702
1300,1467967,1443202
1400,1693566,1707132
1500,1935501,1996236
1600,2637763,2305337
1700,1509767,2634443
1800,1649723,2983531
1900,1834055,3352634
2000,1896603,3741744
2100,1187584,2266463
2200,1273944,2695766
2300,1886520,1961713
2400,1923130,1810539
2500,2454479,2300039
2600,2903667,2809539
2700,3538391,3339039
2800,3439393,3346129
2900,4105957,3915829
3000,4578105,4505529
3100,5206758,5115229
3200,1230764,1359471
3300,1903697,2009571
3400,2120588,2143502
3500,2718942,2833802
3600,3449808,3544102
3700,4360794,4274402
3800,1112721,1846736
3900,2500876,2509644
4000,3438551,3300144
4100,4102417,4110644
