size,time_ns,operations
100,8224,10504
200,22327,41004
300,48514,90307
400,77992,160407
500,71527,145318
600,125078,254422
700,187504,384522
800,257033,533027
900,338229,702930
1000,426152,892831
1100,524276,1102727
1200,1388056,1327852
1300,1682966,1577352
1400,1365283,1337546
1500,1678980,1627246
1600,1964496,1936946
1700,690309,729350
1800,1115811,1075262
1900,1669233,1444563
2000,1917702,1833873
2100,2299818,2243162
2200,1553749,1488174
2300,1563086,1937474
2400,1152858,2406774
2500,1367889,2896074
2600,795177,1519777
2700,793881,1449156
2800,1798223,1998856
2900,2553281,2568556
3000,3202466,3158256
3100,4073200,3767956
3200,4630433,4397656
3300,5176911,5047356
3400,5979928,5717056
3500,6592451,6406756
3600,2562138,2618988
3700,1893104,2975894
3800,1127020,2243702
3900,1452054,3014002
4000,1846576,3804302
4100,2021675,4360598
