size,time_ns,operations
100,2055,1263
200,3569,2734
300,5452,5056
400,7018,6620
500,9383,8897
600,11716,10503
700,14044,12930
800,18337,14881
900,21388,18895
1000,25092,18313
1100,30811,23185
1200,35626,25500
1300,39531,26310
1400,45020,29656
1500,48492,31752
1600,54429,31992
1700,58456,37329
1800,65197,37663
1900,66671,41079
2000,73869,43143
2100,74534,45916
2200,81215,52973
2300,85266,49175
2400,88906,58343
2500,94239,61004
2600,99732,57990
2700,110121,58881
2800,110032,73615
2900,115309,69399
3000,121283,66735
3100,125160,75167
3200,127295,79076
3300,133052,73227
3400,137383,77676
3500,141106,84294
3600,145045,88056
3700,150256,84051
3800,154498,98964
3900,161226,96564
4000,164977,89533
4100,168208,94502
