size,time_ns,operations
100,2968,2615
200,6242,8575
300,16412,17519
400,34318,30006
500,53866,47993
600,73064,66130
700,100664,89448
800,127287,114082
900,155748,141052
1000,190333,174069
1100,232889,210215
1200,274842,250734
1300,323274,295826
1400,367213,337586
1500,423253,388195
1600,483811,440476
1700,538467,496312
1800,605066,555399
1900,671050,615426
2000,739386,679458
2100,811791,749937
2200,896069,829992
2300,967622,899988
2400,1058012,982761
2500,1147030,1063733
2600,1237039,1147278
2700,1330227,1234541
2800,1430385,1328172
2900,1530111,1427451
3000,1637389,1524228
3100,1751018,1627360
3200,1857271,1727394
3300,1979303,1847928
3400,2110209,1963999
3500,2218408,2065104
3600,2347726,2185685
3700,2489100,2313712
3800,2621216,2442367
3900,2758430,2571642
4000,2891772,2703257
4100,3044902,2848883
