size,time_ns,operations
100,7929,5413
200,22651,21850
300,51986,50349
400,109389,84286
500,175797,140297
600,246818,200410
700,326036,272440
800,355626,360077
900,427477,436472
1000,553551,563751
1100,644648,663714
1200,933445,769862
1300,1042276,912957
1400,994971,1029479
1500,1428841,1203001
1600,1531511,1378819
1700,1834923,1500429
1800,1989650,1741544
1900,2104451,1962096
2000,2526600,2135827
2100,2115209,2372491
2200,1417465,2579082
2300,1569385,2868856
2400,1690056,3097882
2500,1822452,3329399
2600,1957477,3591230
2700,2179668,3899331
2800,2242038,4136171
2900,2392106,4399281
3000,2583457,4764318
3100,2784164,5137461
3200,2963643,5469361
3300,3152595,5833648
3400,3298307,6098468
3500,5815892,6360378
3600,6498058,6799222
3700,5762556,7206666
3800,4119092,7619633
3900,4366798,8073511
4000,4534171,8381647
4100,4765041,8821168
