size,time_ns,operations
100,6041,5827
200,16901,19503
300,39592,45597
400,72055,85921
500,116204,131915
600,168451,195542
700,222365,266129
800,219235,351807
900,250480,445778
1000,287222,512656
1100,344440,618998
1200,411170,743059
1300,489377,887402
1400,555072,1007382
1500,649543,1180207
1600,740670,1357557
1700,834481,1531054
1800,948486,1733899
1900,1030197,1887362
2000,1149667,2101486
2100,1263217,2307122
2200,1404098,2581922
2300,1514895,2764896
2400,1641165,3025396
2500,1762425,3249259
2600,1926362,3548998
2700,2057535,3792751
2800,2187211,4013984
2900,2373310,4370432
3000,2570056,4752681
3100,2735299,5050726
3200,2961449,5492040
3300,3109672,5736962
3400,3935065,6116961
3500,6258482,6525392
3600,6769449,6901350
3700,4841392,7277399
3800,4151184,7661465
3900,4462030,8251670
4000,4577663,8460214
4100,4844426,9003188
