size,time_ns,operations
100,2498,828
200,5646,2442
300,10118,4856
400,13142,6456
500,16166,8056
600,19169,9656
700,22196,11256
800,25219,12856
900,28290,14456
1000,31672,16056
1100,35756,17656
1200,37644,19256
1300,40707,20856
1400,43878,22456
1500,46860,24056
1600,50132,25656
1700,53321,27256
1800,56306,28856
1900,59422,30456
2000,62777,32056
2100,65891,33656
2200,69104,35256
2300,72218,36856
2400,75716,38456
2500,78597,40056
2600,81857,41656
2700,84962,43256
2800,88332,44856
2900,91452,46456
3000,94761,48056
3100,99184,49656
3200,107840,51256
3300,130182,52856
3400,111214,54456
3500,134773,56056
3600,146739,57656
3700,164234,59256
3800,156058,60856
3900,146961,62456
4000,185021,64056
4100,190918,65656
