size,time_ns,operations
100,3732,1242
200,5748,2442
300,10891,4856
400,13182,6456
500,16260,8056
600,19219,9656
700,22637,11256
800,25317,12856
900,28565,14456
1000,31232,16056
1100,34567,17656
1200,37169,19256
1300,40918,20856
1400,43987,22456
1500,47239,24056
1600,49710,25656
1700,53451,27256
1800,56537,28856
1900,59580,30456
2000,62456,32056
2100,65477,33656
2200,69397,35256
2300,71863,36856
2400,75102,38456
2500,78904,40056
2600,81947,41656
2700,84928,43256
2800,87464,44856
2900,91703,46456
3000,94317,48056
3100,98194,49656
3200,108434,51256
3300,108936,52856
3400,111263,54456
3500,114903,56056
3600,117845,57656
3700,121032,59256
3800,124179,60856
3900,128069,62456
4000,130906,64056
4100,134180,65656
