size,time_ns,operations
100,1877,414
200,2536,814
300,3304,1214
400,3710,1614
500,4627,2014
600,5316,2414
700,5836,2814
800,7739,3214
900,7403,3614
1000,8101,4014
1100,8826,4414
1200,9817,4814
1300,10144,5214
1400,11083,5614
1500,11541,6014
1600,12397,6414
1700,13025,6814
1800,13737,7214
1900,14444,7614
2000,15273,8014
2100,15753,8414
2200,16840,8814
2300,17137,9214
2400,17993,9614
2500,18944,10014
2600,19233,10414
2700,19961,10814
2800,21079,11214
2900,21323,11614
3000,22209,12014
3100,23357,12414
3200,23453,12814
3300,24375,13214
3400,24658,13614
3500,25414,14014
3600,26535,14414
3700,26998,14814
3800,27941,15214
3900,28220,15614
4000,29346,16014
4100,29591,16414
