size,time_ns,operations
100,4496,1656
200,8250,3256
300,10603,4856
400,14208,6456
500,17181,8056
600,20826,9656
700,23236,11256
800,26946,12856
900,29513,14456
1000,33218,16056
1100,35645,17656
1200,39172,19256
1300,42595,20856
1400,45279,22456
1500,48544,24056
1600,51626,25656
1700,54900,27256
1800,58113,28856
1900,61173,30456
2000,64302,32056
2100,67183,33656
2200,70475,35256
2300,73631,36856
2400,77023,38456
2500,79542,40056
2600,82881,41656
2700,86172,43256
2800,89215,44856
2900,92410,46456
3000,95269,48056
3100,99534,49656
3200,108369,51256
3300,106474,52856
3400,108976,54456
3500,112407,56056
3600,117339,57656
3700,120334,59256
3800,124315,60856
3900,128008,62456
4000,130579,64056
4100,134402,65656
