size,time_ns,operations
100,4343,1656
200,7835,3256
300,11013,4856
400,15186,6456
500,17504,8056
600,20773,9656
700,24584,11256
800,27225,12856
900,30682,14456
1000,33411,16056
1100,36994,17656
1200,39928,19256
1300,43511,20856
1400,46711,22456
1500,49976,24056
1600,53010,25656
1700,56004,27256
1800,59510,28856
1900,62251,30456
2000,66005,32056
2100,68999,33656
2200,72396,35256
2300,75329,36856
2400,78393,38456
2500,82126,40056
2600,84526,41656
2700,88106,43256
2800,90777,44856
2900,94178,46456
3000,96836,48056
3100,100385,49656
3200,107837,51256
3300,107142,52856
3400,110792,54456
3500,114524,56056
3600,119465,57656
3700,120059,59256
3800,123669,60856
3900,128815,62456
4000,130142,64056
4100,133582,65656
