size,time_ns,operations
100,4552,1656
200,7783,3256
300,11576,4856
400,14309,6456
500,17456,8056
600,20922,9656
700,23973,11256
800,27391,12856
900,30639,14456
1000,34231,16056
1100,36606,17656
1200,40512,19256
1300,43503,20856
1400,46663,22456
1500,49950,24056
1600,53124,25656
1700,56314,27256
1800,59658,28856
1900,62700,30456
2000,65822,32056
2100,69179,33656
2200,72103,35256
2300,75831,36856
2400,78629,38456
2500,81768,40056
2600,85687,41656
2700,87936,43256
2800,91882,44856
2900,93746,46456
3000,97713,48056
3100,100084,49656
3200,103707,51256
3300,107413,52856
3400,110372,54456
3500,112865,56056
3600,115397,57656
3700,119434,59256
3800,122058,60856
3900,125039,62456
4000,127724,64056
4100,130805,65656
