size,time_ns,operations
100,4245,5150
200,11768,20300
300,24159,45482
400,43473,80832
500,62906,126182
600,89095,181537
700,121333,246949
800,161450,322401
900,201057,407855
1000,247187,503303
1100,297499,608753
1200,352457,724203
1300,412825,849653
1400,475287,985012
1500,559335,1130461
1600,675508,1285949
1700,702798,1451432
1800,788565,1626911
1900,868758,1812399
2000,976728,2007772
2100,1069679,2213202
2200,1170869,2428253
2300,1279032,2653702
2400,1376493,2889212
2500,1497109,3134722
2600,1612677,3390232
2700,1739817,3655749
2800,1870063,3931303
2900,2017504,4216853
3000,2138510,4510696
3100,2277842,4816068
3200,2430860,5131568
3300,2695301,5454699
3400,2743671,5790149
3500,2900336,6135599
3600,3054902,6487281
3700,3226820,6852631
3800,3404739,7227981
3900,3580356,7613331
4000,3769323,8008681
4100,3954640,8411188
