size,time_ns,operations
100,4980,5150
200,11667,20300
300,24619,45520
400,41752,80920
500,63098,126181
600,88874,181540
700,120486,246940
800,158236,322350
900,198465,407800
1000,255911,503250
1100,299388,608700
1200,353184,724179
1300,412410,849689
1400,474889,984202
1500,544303,1129652
1600,640372,1285102
1700,705391,1450400
1800,911425,1625873
1900,867316,1811354
2000,961232,2006838
2100,1067445,2212323
2200,1158436,2427538
2300,1293752,2652984
2400,1377567,2888439
2500,1507849,3133888
2600,1649236,3389454
2700,1738250,3654714
2800,1865695,3930164
2900,2002517,4215614
3000,2137749,4511064
3100,2283436,4816514
3200,2431196,5131964
3300,2644058,5457414
3400,2743649,5792864
3500,2907543,6138314
3600,3070102,6493166
3700,3230648,6858266
3800,3404646,7232162
3900,3585927,7617512
4000,3807908,8012862
4100,3961531,8411190
