size,time_ns,operations
100,4439,5382
200,14413,20750
300,29848,46130
400,44260,81499
500,67241,126885
600,94038,182271
700,134784,247623
800,169470,322959
900,207419,408330
1000,276320,503736
1100,302933,609103
1200,358043,724479
1300,418075,849883
1400,482680,985250
1500,552384,1130669
1600,626448,1286100
1700,735444,1451441
1800,787505,1626851
1900,875034,1812211
2000,968671,2007544
2100,1074179,2212938
2200,1166701,2428305
2300,1288708,2653738
2400,1384972,2889103
2500,1502613,3134488
2600,1620986,3389881
2700,1753002,3655303
2800,1877846,3930672
2900,2017016,4216033
3000,2150760,4511421
3100,2300837,4816790
3200,2443558,5132237
3300,2601344,5457570
3400,2762307,5792955
3500,2916960,6138365
3600,3089336,6493749
3700,3255587,6859050
3800,3431596,7234446
3900,3614092,7619867
4000,3797885,8015254
4100,3988464,8420549
