size,time_ns,operations
100,4587,5588
200,14824,21271
300,28853,46987
400,49815,82774
500,75853,128614
600,113812,184454
700,141182,250242
800,190377,326031
900,233797,411936
1000,281159,507726
1100,338438,614026
1200,386403,729594
1300,461697,855562
1400,593459,991565
1500,618585,1137336
1600,687651,1293365
1700,770449,1459822
1800,857926,1635200
1900,924744,1821073
2000,1065873,2017430
2100,1162762,2223463
2200,1250742,2438890
2300,1406132,2665184
2400,1450216,2900441
2500,1604725,3146415
2600,1726491,3402792
2700,1877717,3668550
2800,1999470,3944436
2900,2143223,4230526
3000,2330191,4526419
3100,2430376,4833178
3200,2565237,5148516
3300,2713988,5474500
3400,2879283,5810460
3500,3065025,6156373
3600,3313686,6511973
3700,3388993,6877759
3800,3561858,7253932
3900,3775493,7640517
4000,3988778,8035938
4100,4146840,8443051
