size,time_ns,operations
100,4964,6898
200,17750,26757
300,37183,59674
400,63696,105722
500,96968,165391
600,142764,237450
700,188526,322062
800,248890,419694
900,314421,529882
1000,377633,653153
1100,465028,790125
1200,547490,941385
1300,630557,1105805
1400,729683,1283629
1500,837959,1474687
1600,961820,1678967
1700,1026975,1896830
1800,1151857,2126803
1900,1286917,2370081
2000,1427816,2626038
2100,1630793,2895424
2200,1720707,3177851
2300,1887851,3472678
2400,2019597,3780295
2500,2170730,4101866
2600,2377787,4436389
2700,2549914,4784125
2800,2694341,5145671
2900,2889744,5520735
3000,3075106,5908588
3100,3282139,6309626
3200,3500006,6723740
3300,3625549,7151006
3400,3890808,7591294
3500,4124623,8045464
3600,4352810,8513499
3700,4584354,8994091
3800,4792424,9488418
3900,5058651,9997032
4000,5317740,10519098
4100,5638714,11054504
