size,time_ns,operations
100,4954,6987
200,17408,26913
300,37784,59842
400,65141,105532
500,101193,165042
600,145311,238141
700,198741,324847
800,254492,425019
900,314666,538389
1000,387743,664412
1100,475967,803020
1200,541221,954091
1300,602975,1118446
1400,692801,1295811
1500,849973,1486388
1600,953082,1690189
1700,1006027,1906703
1800,1171780,2136345
1900,1300343,2379210
2000,1420873,2635650
2100,1558319,2905056
2200,1705193,3188043
2300,1805518,3484452
2400,1995166,3793563
2500,2108891,4114958
2600,2271030,4449495
2700,2431210,4797650
2800,2728799,5158781
2900,2915174,5533173
3000,3088959,5920420
3100,3282436,6320603
3200,3505316,6734646
3300,3642464,7161367
3400,4531960,7601815
3500,4553244,8055244
3600,4361885,8522314
3700,4608651,9002500
3800,4716300,9496397
3900,5008539,10003878
4000,5375255,10524238
4100,5554501,11057933
