size,time_ns,operations
100,1711,880
200,2303,2138
300,2964,3471
400,3926,5031
500,5214,6613
600,6665,8213
700,7347,9857
800,8409,11720
900,9770,13597
1000,11318,15505
1100,12870,17373
1200,15231,19184
1300,16903,21007
1400,17825,22827
1500,19695,24679
1600,21234,26518
1700,23893,28388
1800,25795,30247
1900,27691,32098
2000,32194,34048
2100,34467,35929
2200,37636,37780
2300,38871,39629
2400,41144,41484
2500,42476,43320
2600,51652,45944
2700,51718,47759
2800,53629,49546
2900,60334,51508
3000,61461,53300
3100,61721,55099
3200,63703,56911
3300,65766,58711
3400,68022,60526
3500,75833,62742
3600,78910,64917
3700,79634,66743
3800,80835,68433
3900,82968,70121
4000,90045,72542
4100,89454,74142
