size,time_ns,operations
100,2064,820
200,2134,1958
300,2553,3195
400,3575,4750
500,4561,6314
600,5408,7806
700,6250,9350
800,7294,11103
900,8376,12879
1000,10310,14668
1100,10494,16429
1200,11681,18230
1300,13195,20035
1400,17665,22091
1500,17757,23887
1600,18556,25715
1700,21336,27480
1800,22611,29320
1900,23838,31173
2000,26400,33011
2100,27731,34847
2200,34410,36826
2300,34026,38662
2400,35890,40511
2500,38618,42361
2600,41198,44064
2700,43097,45815
2800,43594,47593
2900,44777,49391
3000,47069,51192
3100,49016,52974
3200,51294,54775
3300,53259,56572
3400,55494,58368
3500,57017,60160
3600,63665,62377
3700,66263,64275
3800,71283,66376
3900,71440,68053
4000,72051,69729
4100,78852,71908
