size,time_ns,operations
100,2322,1138
200,4740,2963
300,6477,4729
400,10668,6805
500,15867,8989
600,19128,11083
700,24392,13063
800,30399,15494
900,36514,17852
1000,43389,20275
1100,47139,22706
1200,54747,25135
1300,61465,27619
1400,66516,29998
1500,71632,32287
1600,77442,34678
1700,84718,37228
1800,89158,39913
1900,95924,42190
2000,105117,44960
2100,109373,47367
2200,113328,49858
2300,121334,52214
2400,124721,55169
2500,132412,57930
2600,138209,60311
2700,145896,62911
2800,151911,65760
2900,158629,68642
3000,163549,71008
3100,169830,73875
3200,176487,76257
3300,179089,79143
3400,184851,81587
3500,368467,84641
3600,196955,87127
3700,211884,89762
3800,219820,92275
3900,216826,95484
4000,228611,98245
4100,226298,100699
