size,time_ns,operations
100,2086,1153
200,3697,2882
300,6111,4646
400,9450,6707
500,14942,8754
600,18813,10954
700,24641,13106
800,29875,15521
900,36606,17913
1000,41294,20324
1100,48662,23017
1200,55363,25258
1300,60553,27680
1400,67834,30447
1500,72836,32565
1600,79166,35269
1700,83854,37799
1800,90982,40391
1900,96391,42589
2000,105269,44997
2100,111333,47828
2200,117701,50425
2300,121591,52844
2400,127798,55355
2500,133041,58414
2600,138794,61177
2700,141963,63605
2800,148179,66216
2900,153884,68686
3000,160834,71525
3100,165068,73832
3200,171864,76762
3300,177530,78762
3400,183056,81968
3500,190303,84774
3600,199356,86942
3700,205323,90025
3800,211103,92707
3900,217738,95374
4000,223425,97824
4100,230169,100417
