size,time_ns,operations
100,1680,1053
200,2509,2470
300,3570,3913
400,4880,5636
500,5617,7306
600,6704,9178
700,7512,10790
800,9031,12738
900,9943,14417
1000,10995,16418
1100,11912,18249
1200,13767,20650
1300,15391,22868
1400,16220,24918
1500,16945,26694
1600,18595,28559
1700,20708,30380
1800,21494,32467
1900,22869,34484
2000,25483,37897
2100,25265,39193
2200,28500,41562
2300,29560,42631
2400,33253,45663
2500,29809,46916
2600,32533,49792
2700,33620,52834
2800,35074,54622
2900,36078,56902
3000,38474,58268
3100,38845,60577
3200,41604,62660
3300,41303,64939
3400,45532,69180
3500,49396,70191
3600,48549,73635
3700,46942,73811
3800,49876,77326
3900,49937,78332
4000,54254,81696
4100,54542,85843
