size,time_ns,operations
100,1781,1062
200,2885,2458
300,3557,3912
400,5242,5607
500,5753,7295
600,6923,9161
700,7791,10788
800,9018,12728
900,9581,14414
1000,11314,16441
1100,12497,18253
1200,13924,20644
1300,15003,22893
1400,16351,24899
1500,17486,26726
1600,18652,28569
1700,19516,30438
1800,22174,32467
1900,21546,34495
2000,24951,37945
2100,25200,39186
2200,28037,41558
2300,26592,42666
2400,30542,45725
2500,30560,46938
2600,33703,49838
2700,33891,52871
2800,36082,54627
2900,37112,56960
3000,41163,58344
3100,39797,60650
3200,42717,62690
3300,41892,65011
3400,43743,69171
3500,45375,70222
3600,48937,73751
3700,45690,73881
3800,49256,77335
3900,50033,78407
4000,53451,81753
4100,54293,85827
