size,time_ns,operations
100,1809,1018
200,2634,2420
300,3600,4238
400,4806,5720
500,5601,7194
600,7487,9875
700,8581,11594
800,9728,13516
900,10873,15242
1000,12307,17055
1100,14833,21076
1200,15555,22848
1300,17343,24925
1400,19334,26996
1500,22490,29270
1600,22097,32031
1700,24202,33357
1800,27766,35312
1900,29848,37315
2000,30013,39159
2100,33771,45657
2200,34999,47832
2300,39172,49735
2400,37809,51718
2500,42253,54023
2600,43522,57140
2700,44509,58614
2800,52128,61360
2900,60419,63513
3000,62017,65782
3100,52416,69013
3200,51977,72200
3300,67927,73723
3400,67864,75387
3500,87264,78206
3600,67019,82171
3700,84833,82328
3800,88874,85236
3900,84805,86158
4000,85756,88918
4100,64637,98617
