size,time_ns,operations
100,1763,1018
200,2536,2420
300,3505,4250
400,4592,5813
500,5962,7395
600,7765,10008
700,8961,11776
800,9524,13455
900,11170,15291
1000,14627,17111
1100,17351,21024
1200,16583,22857
1300,17818,24923
1400,22214,27353
1500,22288,28981
1600,22585,31388
1700,25907,33323
1800,28277,35496
1900,29901,37030
2000,34685,39553
2100,32310,44709
2200,37208,47577
2300,42136,49986
2400,43835,52301
2500,45751,54511
2600,48160,57179
2700,51648,59117
2800,56532,61546
2900,56415,63133
3000,63421,65526
3100,52665,68472
3200,50474,70459
3300,63137,72740
3400,69877,75315
3500,72684,76767
3600,67995,80131
3700,70946,80480
3800,81104,83316
3900,83156,85283
4000,89498,89425
4100,67341,99611
