size,time_ns,operations
100,1774,1179
200,3184,2852
300,4497,4716
400,5876,6567
500,6981,7852
600,9206,10854
700,9928,12407
800,13366,15069
900,14223,16497
1000,15402,17936
1100,18023,21957
1200,21972,24393
1300,22345,26032
1400,24186,27821
1500,26659,29938
1600,34489,33299
1700,31817,34053
1800,40696,37400
1900,35531,37887
2000,42642,40500
2100,44627,46255
2200,48699,48807
2300,47725,50293
2400,62351,55034
2500,57287,55527
2600,60285,57718
2700,64717,60492
2800,66223,62149
2900,65787,63988
3000,70631,66476
3100,70028,68602
3200,89410,75074
3300,79415,73544
3400,82223,75773
3500,79487,76908
3600,96868,82399
3700,86292,81499
3800,91349,84186
3900,86999,85286
4000,105737,90030
4100,112863,103428
